Source,Target,RespondentType,ConnectionCount
GitHub Copilot,Tabnine,Learning to Code,36
GitHub Copilot,Tabnine,Other Coders,61
GitHub Copilot,Tabnine,Professional Developers,314
GitHub Copilot,Visual Studio Intellicode,Learning to Code,136
GitHub Copilot,Visual Studio Intellicode,Other Coders,367
GitHub Copilot,Visual Studio Intellicode,Professional Developers,2030
GitHub Copilot,Whispr AI,Learning to Code,26
GitHub Copilot,Whispr AI,Other Coders,53
GitHub Copilot,Whispr AI,Professional Developers,201
GitHub Copilot,WolframAlpha,Learning to Code,63
GitHub Copilot,WolframAlpha,Other Coders,227
GitHub Copilot,WolframAlpha,Professional Developers,678
GitHub Copilot,You.com,Learning to Code,25
GitHub Copilot,You.com,Other Coders,43
GitHub Copilot,You.com,Professional Developers,105
Google Gemini,Amazon Q,Learning to Code,37
Google Gemini,Amazon Q,Other Coders,68
Google Gemini,Amazon Q,Professional Developers,315
Google Gemini,Andi,Learning to Code,13
Google Gemini,Andi,Other Coders,13
Google Gemini,Andi,Professional Developers,32
Google Gemini,AskCodi,Learning to Code,21
Google Gemini,AskCodi,Other Coders,20
Google Gemini,AskCodi,Professional Developers,48
Google Gemini,Bing AI,Learning to Code,207
Google Gemini,Bing AI,Other Coders,345
Google Gemini,Bing AI,Professional Developers,1031
Google Gemini,ChatGPT,Learning to Code,686
Google Gemini,ChatGPT,Other Coders,1334
Google Gemini,ChatGPT,Professional Developers,5753
Google Gemini,Claude,Learning to Code,140
Google Gemini,Claude,Other Coders,357
Google Gemini,Claude,Professional Developers,1128
Google Gemini,Codeium,Learning to Code,96
Google Gemini,Codeium,Other Coders,181
Google Gemini,Codeium,Professional Developers,559
Google Gemini,Cody,Learning to Code,26
Google Gemini,Cody,Other Coders,39
Google Gemini,Cody,Professional Developers,128
Google Gemini,GitHub Copilot,Learning to Code,399
Google Gemini,GitHub Copilot,Other Coders,745
Google Gemini,GitHub Copilot,Professional Developers,3653
Google Gemini,Google Gemini,Learning to Code,598
Google Gemini,Google Gemini,Other Coders,1246
Google Gemini,Google Gemini,Professional Developers,5025
Google Gemini,Lightning AI,Learning to Code,28
Google Gemini,Lightning AI,Other Coders,32
Google Gemini,Lightning AI,Professional Developers,80
Google Gemini,Meta AI,Learning to Code,103
Google Gemini,Meta AI,Other Coders,164
Google Gemini,Meta AI,Professional Developers,571
Google Gemini,Metaphor,Learning to Code,19
Google Gemini,Metaphor,Other Coders,18
Google Gemini,Metaphor,Professional Developers,41
Google Gemini,Neeva AI,Learning to Code,18
Google Gemini,Neeva AI,Other Coders,20
Google Gemini,Neeva AI,Professional Developers,37
Google Gemini,OpenAI Codex,Learning to Code,49
Google Gemini,OpenAI Codex,Other Coders,71
Google Gemini,OpenAI Codex,Professional Developers,204
Google Gemini,Perplexity AI,Learning to Code,94
Google Gemini,Perplexity AI,Other Coders,194
Google Gemini,Perplexity AI,Professional Developers,617
Google Gemini,Phind,Learning to Code,47
Google Gemini,Phind,Other Coders,85
Google Gemini,Phind,Professional Developers,269
Google Gemini,Quora Poe,Learning to Code,30
Google Gemini,Quora Poe,Other Coders,44
Google Gemini,Quora Poe,Professional Developers,96
Google Gemini,Replit Ghostwriter,Learning to Code,20
Google Gemini,Replit Ghostwriter,Other Coders,25
Google Gemini,Replit Ghostwriter,Professional Developers,60
Google Gemini,Snyk Code,Learning to Code,20
Google Gemini,Snyk Code,Other Coders,28
Google Gemini,Snyk Code,Professional Developers,96
Google Gemini,Tabnine,Learning to Code,62
Google Gemini,Tabnine,Other Coders,75
Google Gemini,Tabnine,Professional Developers,299
Google Gemini,Visual Studio Intellicode,Learning to Code,161
Google Gemini,Visual Studio Intellicode,Other Coders,289
Google Gemini,Visual Studio Intellicode,Professional Developers,1039
Google Gemini,Whispr AI,Learning to Code,34
Google Gemini,Whispr AI,Other Coders,52
Google Gemini,Whispr AI,Professional Developers,162
Google Gemini,WolframAlpha,Learning to Code,72
Google Gemini,WolframAlpha,Other Coders,204
Google Gemini,WolframAlpha,Professional Developers,415
Google Gemini,You.com,Learning to Code,31
Google Gemini,You.com,Other Coders,44
Google Gemini,You.com,Professional Developers,120
Lightning AI,Amazon Q,Learning to Code,8
Lightning AI,Amazon Q,Other Coders,14
Lightning AI,Amazon Q,Professional Developers,22
Lightning AI,Andi,Learning to Code,7
Lightning AI,Andi,Other Coders,10
Lightning AI,Andi,Professional Developers,14
Lightning AI,AskCodi,Learning to Code,10
Lightning AI,AskCodi,Other Coders,12
Lightning AI,AskCodi,Professional Developers,14
Lightning AI,Bing AI,Learning to Code,18
Lightning AI,Bing AI,Other Coders,14
Lightning AI,Bing AI,Professional Developers,25
Lightning AI,ChatGPT,Learning to Code,24
Lightning AI,ChatGPT,Other Coders,20
Lightning AI,ChatGPT,Professional Developers,63
Lightning AI,Claude,Learning to Code,12
Lightning AI,Claude,Other Coders,14
Lightning AI,Claude,Professional Developers,35
Lightning AI,Codeium,Learning to Code,11
Lightning AI,Codeium,Other Coders,16
Lightning AI,Codeium,Professional Developers,23
Lightning AI,Cody,Learning to Code,11
Lightning AI,Cody,Other Coders,12
Lightning AI,Cody,Professional Developers,18
Lightning AI,GitHub Copilot,Learning to Code,21
Lightning AI,GitHub Copilot,Other Coders,19
Lightning AI,GitHub Copilot,Professional Developers,46
Lightning AI,Google Gemini,Learning to Code,16
Lightning AI,Google Gemini,Other Coders,19
Lightning AI,Google Gemini,Professional Developers,43
Lightning AI,Lightning AI,Learning to Code,23
Lightning AI,Lightning AI,Other Coders,23
Lightning AI,Lightning AI,Professional Developers,52
Lightning AI,Meta AI,Learning to Code,16
Lightning AI,Meta AI,Other Coders,14
Lightning AI,Meta AI,Professional Developers,32
Lightning AI,Metaphor,Learning to Code,9
Lightning AI,Metaphor,Other Coders,11
Lightning AI,Metaphor,Professional Developers,15
Lightning AI,Neeva AI,Learning to Code,13
Lightning AI,Neeva AI,Other Coders,13
Lightning AI,Neeva AI,Professional Developers,17
Lightning AI,OpenAI Codex,Learning to Code,14
Lightning AI,OpenAI Codex,Other Coders,16
Lightning AI,OpenAI Codex,Professional Developers,26
Lightning AI,Perplexity AI,Learning to Code,14
Lightning AI,Perplexity AI,Other Coders,14
Lightning AI,Perplexity AI,Professional Developers,29
Lightning AI,Phind,Learning to Code,11
Lightning AI,Phind,Other Coders,12
Lightning AI,Phind,Professional Developers,20
Lightning AI,Quora Poe,Learning to Code,13
Lightning AI,Quora Poe,Other Coders,10
Lightning AI,Quora Poe,Professional Developers,16
Lightning AI,Replit Ghostwriter,Learning to Code,9
Lightning AI,Replit Ghostwriter,Other Coders,9
Lightning AI,Replit Ghostwriter,Professional Developers,16
Lightning AI,Snyk Code,Learning to Code,11
Lightning AI,Snyk Code,Other Coders,10
Lightning AI,Snyk Code,Professional Developers,17
Lightning AI,Tabnine,Learning to Code,12
Lightning AI,Tabnine,Other Coders,11
Lightning AI,Tabnine,Professional Developers,18
Lightning AI,Visual Studio Intellicode,Learning to Code,14
Lightning AI,Visual Studio Intellicode,Other Coders,15
Lightning AI,Visual Studio Intellicode,Professional Developers,26
Lightning AI,Whispr AI,Learning to Code,12
Lightning AI,Whispr AI,Other Coders,12
Lightning AI,Whispr AI,Professional Developers,20
Lightning AI,WolframAlpha,Learning to Code,10
Lightning AI,WolframAlpha,Other Coders,13
Lightning AI,WolframAlpha,Professional Developers,18
Lightning AI,You.com,Learning to Code,10
Lightning AI,You.com,Other Coders,14
Lightning AI,You.com,Professional Developers,18
Meta AI,Amazon Q,Learning to Code,19
Meta AI,Amazon Q,Other Coders,23
Meta AI,Amazon Q,Professional Developers,80
Meta AI,Andi,Learning to Code,11
Meta AI,Andi,Other Coders,14
Meta AI,Andi,Professional Developers,19
Meta AI,AskCodi,Learning to Code,12
Meta AI,AskCodi,Other Coders,16
Meta AI,AskCodi,Professional Developers,21
Meta AI,Bing AI,Learning to Code,55
Meta AI,Bing AI,Other Coders,70
Meta AI,Bing AI,Professional Developers,198
Meta AI,ChatGPT,Learning to Code,116
Meta AI,ChatGPT,Other Coders,190
Meta AI,ChatGPT,Professional Developers,741
Meta AI,Claude,Learning to Code,35
Meta AI,Claude,Other Coders,73
Meta AI,Claude,Professional Developers,249
Meta AI,Codeium,Learning to Code,23
Meta AI,Codeium,Other Coders,35
Meta AI,Codeium,Professional Developers,90
Meta AI,Cody,Learning to Code,16
Meta AI,Cody,Other Coders,17
Meta AI,Cody,Professional Developers,31
Meta AI,GitHub Copilot,Learning to Code,88
Meta AI,GitHub Copilot,Other Coders,124
Meta AI,GitHub Copilot,Professional Developers,493
Meta AI,Google Gemini,Learning to Code,87
Meta AI,Google Gemini,Other Coders,121
Meta AI,Google Gemini,Professional Developers,379
Meta AI,Lightning AI,Learning to Code,21
Meta AI,Lightning AI,Other Coders,18
Meta AI,Lightning AI,Professional Developers,36
Meta AI,Meta AI,Learning to Code,91
Meta AI,Meta AI,Other Coders,165
Meta AI,Meta AI,Professional Developers,557
Meta AI,Metaphor,Learning to Code,10
Meta AI,Metaphor,Other Coders,15
Meta AI,Metaphor,Professional Developers,23
Meta AI,Neeva AI,Learning to Code,11
Meta AI,Neeva AI,Other Coders,15
Meta AI,Neeva AI,Professional Developers,20
Meta AI,OpenAI Codex,Learning to Code,25
Meta AI,OpenAI Codex,Other Coders,36
Meta AI,OpenAI Codex,Professional Developers,58
Meta AI,Perplexity AI,Learning to Code,36
Meta AI,Perplexity AI,Other Coders,46
Meta AI,Perplexity AI,Professional Developers,144
Meta AI,Phind,Learning to Code,17
Meta AI,Phind,Other Coders,25
Meta AI,Phind,Professional Developers,48
Meta AI,Quora Poe,Learning to Code,17
Meta AI,Quora Poe,Other Coders,20
Meta AI,Quora Poe,Professional Developers,31
Meta AI,Replit Ghostwriter,Learning to Code,14
Meta AI,Replit Ghostwriter,Other Coders,10
Meta AI,Replit Ghostwriter,Professional Developers,21
Meta AI,Snyk Code,Learning to Code,11
Meta AI,Snyk Code,Other Coders,14
Meta AI,Snyk Code,Professional Developers,31
Meta AI,Tabnine,Learning to Code,21
Meta AI,Tabnine,Other Coders,16
Meta AI,Tabnine,Professional Developers,50
Meta AI,Visual Studio Intellicode,Learning to Code,43
Meta AI,Visual Studio Intellicode,Other Coders,66
Meta AI,Visual Studio Intellicode,Professional Developers,175
Meta AI,Whispr AI,Learning to Code,21
Meta AI,Whispr AI,Other Coders,21
Meta AI,Whispr AI,Professional Developers,54
Meta AI,WolframAlpha,Learning to Code,23
Meta AI,WolframAlpha,Other Coders,40
Meta AI,WolframAlpha,Professional Developers,90
Meta AI,You.com,Learning to Code,20
Meta AI,You.com,Other Coders,22
Meta AI,You.com,Professional Developers,35
Metaphor,Amazon Q,Learning to Code,8
Metaphor,Amazon Q,Other Coders,11
Metaphor,Amazon Q,Professional Developers,15
Metaphor,Andi,Learning to Code,6
Metaphor,Andi,Other Coders,6
Metaphor,Andi,Professional Developers,13
Metaphor,AskCodi,Learning to Code,7
Metaphor,AskCodi,Other Coders,8
Metaphor,AskCodi,Professional Developers,14
Metaphor,Bing AI,Learning to Code,7
Metaphor,Bing AI,Other Coders,10
Metaphor,Bing AI,Professional Developers,19
Metaphor,ChatGPT,Learning to Code,12
Metaphor,ChatGPT,Other Coders,9
Metaphor,ChatGPT,Professional Developers,28
Metaphor,Claude,Learning to Code,6
Metaphor,Claude,Other Coders,8
Metaphor,Claude,Professional Developers,23
Metaphor,Codeium,Learning to Code,8
Metaphor,Codeium,Other Coders,10
Metaphor,Codeium,Professional Developers,16
Metaphor,Cody,Learning to Code,7
Metaphor,Cody,Other Coders,9
Metaphor,Cody,Professional Developers,16
Metaphor,GitHub Copilot,Learning to Code,9
Metaphor,GitHub Copilot,Other Coders,9
Metaphor,GitHub Copilot,Professional Developers,22
Metaphor,Google Gemini,Learning to Code,9
Metaphor,Google Gemini,Other Coders,12
Metaphor,Google Gemini,Professional Developers,23
Metaphor,Lightning AI,Learning to Code,8
Metaphor,Lightning AI,Other Coders,8
Metaphor,Lightning AI,Professional Developers,14
Metaphor,Meta AI,Learning to Code,8
Metaphor,Meta AI,Other Coders,10
Metaphor,Meta AI,Professional Developers,16
Metaphor,Metaphor,Learning to Code,8
Metaphor,Metaphor,Other Coders,11
Metaphor,Metaphor,Professional Developers,24
Metaphor,Neeva AI,Learning to Code,8
Metaphor,Neeva AI,Other Coders,11
Metaphor,Neeva AI,Professional Developers,15
Metaphor,OpenAI Codex,Learning to Code,8
Metaphor,OpenAI Codex,Other Coders,10
Metaphor,OpenAI Codex,Professional Developers,16
Metaphor,Perplexity AI,Learning to Code,11
Metaphor,Perplexity AI,Other Coders,10
Metaphor,Perplexity AI,Professional Developers,19
Metaphor,Phind,Learning to Code,9
Metaphor,Phind,Other Coders,9
Metaphor,Phind,Professional Developers,16
Metaphor,Quora Poe,Learning to Code,9
Metaphor,Quora Poe,Other Coders,9
Metaphor,Quora Poe,Professional Developers,13
Metaphor,Replit Ghostwriter,Learning to Code,7
Metaphor,Replit Ghostwriter,Other Coders,7
Metaphor,Replit Ghostwriter,Professional Developers,13
Metaphor,Snyk Code,Learning to Code,8
Metaphor,Snyk Code,Other Coders,8
Metaphor,Snyk Code,Professional Developers,15
Metaphor,Tabnine,Learning to Code,7
Metaphor,Tabnine,Other Coders,9
Metaphor,Tabnine,Professional Developers,16
Metaphor,Visual Studio Intellicode,Learning to Code,9
Metaphor,Visual Studio Intellicode,Other Coders,10
Metaphor,Visual Studio Intellicode,Professional Developers,14
Metaphor,Whispr AI,Learning to Code,9
Metaphor,Whispr AI,Other Coders,8
Metaphor,Whispr AI,Professional Developers,15
Metaphor,WolframAlpha,Learning to Code,7
Metaphor,WolframAlpha,Other Coders,10
Metaphor,WolframAlpha,Professional Developers,15
Metaphor,You.com,Learning to Code,7
Metaphor,You.com,Other Coders,10
Metaphor,You.com,Professional Developers,15
Neeva AI,Amazon Q,Learning to Code,6
Neeva AI,Amazon Q,Other Coders,9
Neeva AI,Amazon Q,Professional Developers,18
Neeva AI,Andi,Learning to Code,5
Neeva AI,Andi,Other Coders,6
Neeva AI,Andi,Professional Developers,14
Neeva AI,AskCodi,Learning to Code,5
Neeva AI,AskCodi,Other Coders,7
Neeva AI,AskCodi,Professional Developers,16
Neeva AI,Bing AI,Learning to Code,9
Neeva AI,Bing AI,Other Coders,14
Neeva AI,Bing AI,Professional Developers,18
Neeva AI,ChatGPT,Learning to Code,9
Neeva AI,ChatGPT,Other Coders,13
Neeva AI,ChatGPT,Professional Developers,31
Neeva AI,Claude,Learning to Code,5
Neeva AI,Claude,Other Coders,9
Neeva AI,Claude,Professional Developers,25
Neeva AI,Codeium,Learning to Code,6
Neeva AI,Codeium,Other Coders,11
Neeva AI,Codeium,Professional Developers,17
Neeva AI,Cody,Learning to Code,4
Neeva AI,Cody,Other Coders,10
Neeva AI,Cody,Professional Developers,15
Neeva AI,GitHub Copilot,Learning to Code,9
Neeva AI,GitHub Copilot,Other Coders,14
Neeva AI,GitHub Copilot,Professional Developers,26
Neeva AI,Google Gemini,Learning to Code,8
Neeva AI,Google Gemini,Other Coders,12
Neeva AI,Google Gemini,Professional Developers,24
Neeva AI,Lightning AI,Learning to Code,7
Neeva AI,Lightning AI,Other Coders,8
Neeva AI,Lightning AI,Professional Developers,17
Neeva AI,Meta AI,Learning to Code,6
Neeva AI,Meta AI,Other Coders,11
Neeva AI,Meta AI,Professional Developers,17
Neeva AI,Metaphor,Learning to Code,5
Neeva AI,Metaphor,Other Coders,9
Neeva AI,Metaphor,Professional Developers,15
Neeva AI,Neeva AI,Learning to Code,7
Neeva AI,Neeva AI,Other Coders,11
Neeva AI,Neeva AI,Professional Developers,20
Neeva AI,OpenAI Codex,Learning to Code,8
Neeva AI,OpenAI Codex,Other Coders,10
Neeva AI,OpenAI Codex,Professional Developers,19
Neeva AI,Perplexity AI,Learning to Code,7
Neeva AI,Perplexity AI,Other Coders,12
Neeva AI,Perplexity AI,Professional Developers,19
Neeva AI,Phind,Learning to Code,7
Neeva AI,Phind,Other Coders,10
Neeva AI,Phind,Professional Developers,14
Neeva AI,Quora Poe,Learning to Code,6
Neeva AI,Quora Poe,Other Coders,7
Neeva AI,Quora Poe,Professional Developers,16
Neeva AI,Replit Ghostwriter,Learning to Code,5
Neeva AI,Replit Ghostwriter,Other Coders,6
Neeva AI,Replit Ghostwriter,Professional Developers,16
Neeva AI,Snyk Code,Learning to Code,7
Neeva AI,Snyk Code,Other Coders,7
Neeva AI,Snyk Code,Professional Developers,16
Neeva AI,Tabnine,Learning to Code,7
Neeva AI,Tabnine,Other Coders,9
Neeva AI,Tabnine,Professional Developers,18
Neeva AI,Visual Studio Intellicode,Learning to Code,8
Neeva AI,Visual Studio Intellicode,Other Coders,10
Neeva AI,Visual Studio Intellicode,Professional Developers,17
Neeva AI,Whispr AI,Learning to Code,8
Neeva AI,Whispr AI,Other Coders,7
Neeva AI,Whispr AI,Professional Developers,18
Neeva AI,WolframAlpha,Learning to Code,8
Neeva AI,WolframAlpha,Other Coders,8
Neeva AI,WolframAlpha,Professional Developers,21
Neeva AI,You.com,Learning to Code,6
Neeva AI,You.com,Other Coders,9
Neeva AI,You.com,Professional Developers,16
OpenAI Codex,Amazon Q,Learning to Code,8
OpenAI Codex,Amazon Q,Other Coders,21
OpenAI Codex,Amazon Q,Professional Developers,40
OpenAI Codex,Andi,Learning to Code,6
OpenAI Codex,Andi,Other Coders,9
OpenAI Codex,Andi,Professional Developers,19
OpenAI Codex,AskCodi,Learning to Code,7
OpenAI Codex,AskCodi,Other Coders,13
OpenAI Codex,AskCodi,Professional Developers,17
OpenAI Codex,Bing AI,Learning to Code,17
OpenAI Codex,Bing AI,Other Coders,45
OpenAI Codex,Bing AI,Professional Developers,69
OpenAI Codex,ChatGPT,Learning to Code,37
OpenAI Codex,ChatGPT,Other Coders,84
OpenAI Codex,ChatGPT,Professional Developers,219
OpenAI Codex,Claude,Learning to Code,9
OpenAI Codex,Claude,Other Coders,32
OpenAI Codex,Claude,Professional Developers,80
OpenAI Codex,Codeium,Learning to Code,12
OpenAI Codex,Codeium,Other Coders,18
OpenAI Codex,Codeium,Professional Developers,44
OpenAI Codex,Cody,Learning to Code,6
OpenAI Codex,Cody,Other Coders,18
OpenAI Codex,Cody,Professional Developers,23
OpenAI Codex,GitHub Copilot,Learning to Code,30
OpenAI Codex,GitHub Copilot,Other Coders,81
OpenAI Codex,GitHub Copilot,Professional Developers,188
OpenAI Codex,Google Gemini,Learning to Code,25
OpenAI Codex,Google Gemini,Other Coders,53
OpenAI Codex,Google Gemini,Professional Developers,126
OpenAI Codex,Lightning AI,Learning to Code,10
OpenAI Codex,Lightning AI,Other Coders,16
OpenAI Codex,Lightning AI,Professional Developers,27
OpenAI Codex,Meta AI,Learning to Code,16
OpenAI Codex,Meta AI,Other Coders,32
OpenAI Codex,Meta AI,Professional Developers,67
OpenAI Codex,Metaphor,Learning to Code,6
OpenAI Codex,Metaphor,Other Coders,12
OpenAI Codex,Metaphor,Professional Developers,18
OpenAI Codex,Neeva AI,Learning to Code,7
OpenAI Codex,Neeva AI,Other Coders,12
OpenAI Codex,Neeva AI,Professional Developers,20
OpenAI Codex,OpenAI Codex,Learning to Code,38
OpenAI Codex,OpenAI Codex,Other Coders,74
OpenAI Codex,OpenAI Codex,Professional Developers,203
OpenAI Codex,Perplexity AI,Learning to Code,9
OpenAI Codex,Perplexity AI,Other Coders,30
OpenAI Codex,Perplexity AI,Professional Developers,54
OpenAI Codex,Phind,Learning to Code,7
OpenAI Codex,Phind,Other Coders,14
OpenAI Codex,Phind,Professional Developers,28
OpenAI Codex,Quora Poe,Learning to Code,9
OpenAI Codex,Quora Poe,Other Coders,11
OpenAI Codex,Quora Poe,Professional Developers,23
OpenAI Codex,Replit Ghostwriter,Learning to Code,5
OpenAI Codex,Replit Ghostwriter,Other Coders,13
OpenAI Codex,Replit Ghostwriter,Professional Developers,21
OpenAI Codex,Snyk Code,Learning to Code,7
OpenAI Codex,Snyk Code,Other Coders,13
OpenAI Codex,Snyk Code,Professional Developers,26
OpenAI Codex,Tabnine,Learning to Code,10
OpenAI Codex,Tabnine,Other Coders,16
OpenAI Codex,Tabnine,Professional Developers,31
OpenAI Codex,Visual Studio Intellicode,Learning to Code,17
OpenAI Codex,Visual Studio Intellicode,Other Coders,45
OpenAI Codex,Visual Studio Intellicode,Professional Developers,81
OpenAI Codex,Whispr AI,Learning to Code,10
OpenAI Codex,Whispr AI,Other Coders,14
OpenAI Codex,Whispr AI,Professional Developers,42
OpenAI Codex,WolframAlpha,Learning to Code,10
OpenAI Codex,WolframAlpha,Other Coders,23
OpenAI Codex,WolframAlpha,Professional Developers,48
OpenAI Codex,You.com,Learning to Code,5
OpenAI Codex,You.com,Other Coders,15
OpenAI Codex,You.com,Professional Developers,20
Perplexity AI,Amazon Q,Learning to Code,15
Perplexity AI,Amazon Q,Other Coders,22
Perplexity AI,Amazon Q,Professional Developers,79
Perplexity AI,Andi,Learning to Code,5
Perplexity AI,Andi,Other Coders,7
Perplexity AI,Andi,Professional Developers,20
Perplexity AI,AskCodi,Learning to Code,8
Perplexity AI,AskCodi,Other Coders,11
Perplexity AI,AskCodi,Professional Developers,23
Perplexity AI,Bing AI,Learning to Code,50
Perplexity AI,Bing AI,Other Coders,95
Perplexity AI,Bing AI,Professional Developers,225
Perplexity AI,ChatGPT,Learning to Code,140
Perplexity AI,ChatGPT,Other Coders,334
Perplexity AI,ChatGPT,Professional Developers,1255
Perplexity AI,Claude,Learning to Code,49
Perplexity AI,Claude,Other Coders,140
Perplexity AI,Claude,Professional Developers,518
Perplexity AI,Codeium,Learning to Code,34
Perplexity AI,Codeium,Other Coders,77
Perplexity AI,Codeium,Professional Developers,211
Perplexity AI,Cody,Learning to Code,8
Perplexity AI,Cody,Other Coders,24
Perplexity AI,Cody,Professional Developers,58
Perplexity AI,GitHub Copilot,Learning to Code,74
Perplexity AI,GitHub Copilot,Other Coders,223
Perplexity AI,GitHub Copilot,Professional Developers,812
Perplexity AI,Google Gemini,Learning to Code,84
Perplexity AI,Google Gemini,Other Coders,182
Perplexity AI,Google Gemini,Professional Developers,535
Perplexity AI,Lightning AI,Learning to Code,12
Perplexity AI,Lightning AI,Other Coders,19
Perplexity AI,Lightning AI,Professional Developers,43
Perplexity AI,Meta AI,Learning to Code,32
Perplexity AI,Meta AI,Other Coders,55
Perplexity AI,Meta AI,Professional Developers,187
Perplexity AI,Metaphor,Learning to Code,6
Perplexity AI,Metaphor,Other Coders,9
Perplexity AI,Metaphor,Professional Developers,23
Perplexity AI,Neeva AI,Learning to Code,7
Perplexity AI,Neeva AI,Other Coders,11
Perplexity AI,Neeva AI,Professional Developers,19
Perplexity AI,OpenAI Codex,Learning to Code,12
Perplexity AI,OpenAI Codex,Other Coders,32
Perplexity AI,OpenAI Codex,Professional Developers,69
Perplexity AI,Perplexity AI,Learning to Code,114
Perplexity AI,Perplexity AI,Other Coders,295
Perplexity AI,Perplexity AI,Professional Developers,1121
Perplexity AI,Phind,Learning to Code,16
Perplexity AI,Phind,Other Coders,45
Perplexity AI,Phind,Professional Developers,167
Perplexity AI,Quora Poe,Learning to Code,16
Perplexity AI,Quora Poe,Other Coders,19
Perplexity AI,Quora Poe,Professional Developers,57
Perplexity AI,Replit Ghostwriter,Learning to Code,7
Perplexity AI,Replit Ghostwriter,Other Coders,11
Perplexity AI,Replit Ghostwriter,Professional Developers,27
Perplexity AI,Snyk Code,Learning to Code,9
Perplexity AI,Snyk Code,Other Coders,14
Perplexity AI,Snyk Code,Professional Developers,39
Perplexity AI,Tabnine,Learning to Code,20
Perplexity AI,Tabnine,Other Coders,30
Perplexity AI,Tabnine,Professional Developers,98
Perplexity AI,Visual Studio Intellicode,Learning to Code,34
Perplexity AI,Visual Studio Intellicode,Other Coders,86
Perplexity AI,Visual Studio Intellicode,Professional Developers,228
Perplexity AI,Whispr AI,Learning to Code,12
Perplexity AI,Whispr AI,Other Coders,18
Perplexity AI,Whispr AI,Professional Developers,66
Perplexity AI,WolframAlpha,Learning to Code,18
Perplexity AI,WolframAlpha,Other Coders,57
Perplexity AI,WolframAlpha,Professional Developers,155
Perplexity AI,You.com,Learning to Code,10
Perplexity AI,You.com,Other Coders,23
Perplexity AI,You.com,Professional Developers,68
Phind,Amazon Q,Learning to Code,9
Phind,Amazon Q,Other Coders,16
Phind,Amazon Q,Professional Developers,41
Phind,Andi,Learning to Code,6
Phind,Andi,Other Coders,6
Phind,Andi,Professional Developers,14
Phind,AskCodi,Learning to Code,8
Phind,AskCodi,Other Coders,9
Phind,AskCodi,Professional Developers,15
Phind,Bing AI,Learning to Code,17
Phind,Bing AI,Other Coders,53
Phind,Bing AI,Professional Developers,133
Phind,ChatGPT,Learning to Code,73
Phind,ChatGPT,Other Coders,200
Phind,ChatGPT,Professional Developers,830
Phind,Claude,Learning to Code,25
Phind,Claude,Other Coders,62
Phind,Claude,Professional Developers,251
Phind,Codeium,Learning to Code,27
Phind,Codeium,Other Coders,62
Phind,Codeium,Professional Developers,175
Phind,Cody,Learning to Code,6
Phind,Cody,Other Coders,13
Phind,Cody,Professional Developers,49
Phind,GitHub Copilot,Learning to Code,43
Phind,GitHub Copilot,Other Coders,105
Phind,GitHub Copilot,Professional Developers,542
Phind,Google Gemini,Learning to Code,36
Phind,Google Gemini,Other Coders,91
Phind,Google Gemini,Professional Developers,325
Phind,Lightning AI,Learning to Code,9
Phind,Lightning AI,Other Coders,10
Phind,Lightning AI,Professional Developers,23
Phind,Meta AI,Learning to Code,11
Phind,Meta AI,Other Coders,28
Phind,Meta AI,Professional Developers,87
Phind,Metaphor,Learning to Code,7
Phind,Metaphor,Other Coders,7
Phind,Metaphor,Professional Developers,15
Phind,Neeva AI,Learning to Code,7
Phind,Neeva AI,Other Coders,9
Phind,Neeva AI,Professional Developers,15
Phind,OpenAI Codex,Learning to Code,9
Phind,OpenAI Codex,Other Coders,10
Phind,OpenAI Codex,Professional Developers,39
Phind,Perplexity AI,Learning to Code,19
Phind,Perplexity AI,Other Coders,47
Phind,Perplexity AI,Professional Developers,184
Phind,Phind,Learning to Code,71
Phind,Phind,Other Coders,197
Phind,Phind,Professional Developers,781
Phind,Quora Poe,Learning to Code,8
Phind,Quora Poe,Other Coders,13
Phind,Quora Poe,Professional Developers,28
Phind,Replit Ghostwriter,Learning to Code,7
Phind,Replit Ghostwriter,Other Coders,9
Phind,Replit Ghostwriter,Professional Developers,19
Phind,Snyk Code,Learning to Code,9
Phind,Snyk Code,Other Coders,16
Phind,Snyk Code,Professional Developers,27
Phind,Tabnine,Learning to Code,10
Phind,Tabnine,Other Coders,24
Phind,Tabnine,Professional Developers,50
Phind,Visual Studio Intellicode,Learning to Code,24
Phind,Visual Studio Intellicode,Other Coders,47
Phind,Visual Studio Intellicode,Professional Developers,152
Phind,Whispr AI,Learning to Code,11
Phind,Whispr AI,Other Coders,10
Phind,Whispr AI,Professional Developers,38
Phind,WolframAlpha,Learning to Code,10
Phind,WolframAlpha,Other Coders,41
Phind,WolframAlpha,Professional Developers,81
Phind,You.com,Learning to Code,6
Phind,You.com,Other Coders,19
Phind,You.com,Professional Developers,28
Quora Poe,Amazon Q,Learning to Code,11
Quora Poe,Amazon Q,Other Coders,17
Quora Poe,Amazon Q,Professional Developers,27
Quora Poe,Andi,Learning to Code,7
Quora Poe,Andi,Other Coders,5
Quora Poe,Andi,Professional Developers,17
Quora Poe,AskCodi,Learning to Code,10
Quora Poe,AskCodi,Other Coders,10
Quora Poe,AskCodi,Professional Developers,17
Quora Poe,Bing AI,Learning to Code,21
Quora Poe,Bing AI,Other Coders,35
Quora Poe,Bing AI,Professional Developers,46
Quora Poe,ChatGPT,Learning to Code,37
Quora Poe,ChatGPT,Other Coders,87
